Christian Democrats	255	0.382883	359	0.403371	0.0204879	1.05351
Communist	198	0.297297	153	0.17191	-0.125387	0.578243
Socialist	73	0.10961	149	0.167416	0.0578061	1.52738
Italian Social Movement	48	0.0720721	87	0.0977528	0.0256807	1.35632
Republican	29	0.0435435	41	0.0460674	0.00252387	1.05796
Democratic Socialist	23	0.0345345	35	0.0393258	0.00479131	1.13874
Liberal	16	0.024024	25	0.0280899	0.00406586	1.16924
Radical	11	0.0165165	21	0.0235955	0.00707899	1.4286
Proletarian Democrats	7	0.0105105	11	0.0123596	0.00184904	1.17592
Small regional parties	6	0.00900901	9	0.0101124	0.00110335	1.12247
